Abbreviation,Building,Address
PW,Parkwood Hospital,"801 Commissioners Road East London, ON N6C 5J1"
RMHC-ST,Regional Mental Health Care-St. Thomas,"467 Sunset Drive , P.O. Box 2004 St. Thomas"
RRI,Robarts Research Institute,"P.O. Box 5015 London, ON N6G 2V4"
SC,The Stiller Centre,"700 Collip Circle London, ON N6G 4C4"
SDRI,Siebens Drake Research Institute,"1400 Western Road London, ON N6G 2V4"
SEB,Alexander Charles Spencer Engineering Building,"London, ON N6A 5B9"
SEI,(Ronald D.) Schmeichel Entrepreneurship and Innovation Bldg,""
SH,Somerville House,"London, ON N6G 2V4"
SJB,St. James Building,"1285 Western Road London, ON N6G 1H2"
SJFMDC,St. Joseph's Family Medical & Dental Centre,"346 Platt's Lane London, ON N6G 1J1"
SJHC,St. Joseph's Health Centre,"268 Grosvenor Street London, ON N6A 4V2"
SMHR,Saugeen-Maitland Hall Residence,"289 Windermere Road London, ON N6G 2J8"
SSB,Support Services Building,"1393 Western Road London, ON N6G 1G9"
SSC,Social Science Centre,"London, ON N6G 2V4"
STAB,Staging Building,"London, ON N6A 5B7"
StMH,St. Mary's Hospital,"London, ON N6A 1Y6"
STVH,Stevenson Hall,"37 Kent Dr. London, ON N6G 2V4"
SWMHC,Southwest Middlesex Health Centre,"22262 Mill Road Mt. Brydges, ON N0L 1W0"
SWORM,Southwestern Ontario Rural Medicine Unit,"53 North Street Goderich, ON N7A 2T5"
SYHR,Sydenham Hall Residence,"University Dr. London, ON N6A 5B9"
TC,Talbot College,"London, ON N6A 2X2"
TDS,TD Waterhouse Stadium,"100 Philip Aziz Ave. London, ON N6A 5P9"
TEB,Thompson Engineering Building,"London, ON N6A 5B9"
TH,Thames Hall,"Oxford Dr. London, ON N6G 2V4"
TL,The Allyn and Betty Taylor Library,"Middlesex Dr. London, ON N6A 3K7"
TRAC,J. Gordon Thompson Recreation and Athletics Centre,"London, ON N6A 3K7"
TVCC,Thames Valley Children's Centre,779 Base Line Road East N6C 5Y6
UC,University College,"London, ON N6A 3K7"
UCC,University Community Centre,"London, ON N6A 2K5"
UH,Ursuline Hall,"1285 Western Road London, ON N6G 1H2"
UYCC,University YMCA Child Care,"1141 Western Rd. London, ON N6G 1G6"
VAC,John Labatt Visual Arts Centre,"Perth Dr. London, ON N6A 3K7"
VFMC,Victoria Family Medical Centre,"60 Chesley Avenue London, ON N5Z 2C1"
WH,Westminster Hall,"361 Windermere Road London, ON N6G 2K3"
WINDEEE,"Wind Engineering, Energy & Environment","2535 Advanced Ave. London, ON N6M 0E2"
WIRB,Western Interdisciplinary Research Building,"Perth Dr. London, ON N6A 3K7"
WL,The D.B. Weldon Library,"London, ON N6A 3K7"
WLL,Wampum Learning Lodge,"1137 Western Rd London, ON N6A 3K7"
WMCC,Windermere Manor Conference Centre,"200 Collip Circle, UWO Research Park London, ON N6G 4X8"
WMH,Windermere Manor Hotel,"200 Collip Circle, UWO Research Park London, ON N6G 4X8"
WR89,1389 Western Road,"London, ON N6G 4W4"
WSC,Laurene O. Paterson (Western Science Centre),""
WSRC,Western Student Recreation Centre,"Western Rd. London, ON N6G 1G8"
WSSB,Western Student Services Building,"1151 Western Rd. London, ON N6G 1G6"
WTC,Western Tennis Club,"Lambton Dr. London, ON N6G 1G8"
WVB,West Valley Building,"London, ON"
